Days,Month,length,angle
1,Jan,218.3463432,0.017221135
2,Jan,213.0210976,0.03444227
3,Jan,226.9931208,0.051663405
4,Jan,225.3132458,0.06888454
5,Jan,250.8682269,0.086105675
6,Jan,249.4875441,0.10332681
7,Jan,232.7067338,0.120547945
8,Jan,226.498159,0.13776908
9,Jan,254.1178985,0.154990215
10,Jan,243.0058797,0.17221135
11,Jan,219.425078,0.189432485
12,Jan,215.4042352,0.20665362
13,Jan,215.3176078,0.223874755
14,Jan,227.7880546,0.24109589
15,Jan,223.7205183,0.258317025
16,Jan,240.7303764,0.27553816
17,Jan,218.4848639,0.292759295
18,Jan,224.5907441,0.309980431
19,Jan,222.5971179,0.327201566
20,Jan,218.1070519,0.344422701
21,Jan,228.6063872,0.361643836
22,Jan,237.7837966,0.378864971
23,Jan,225.7592782,0.396086106
24,Jan,259.4340447,0.413307241
25,Jan,246.1378817,0.430528376
26,Jan,253.8677398,0.447749511
27,Jan,228.2748008,0.464970646
28,Jan,240.5637772,0.482191781
29,Jan,247.3709443,0.499412916
30,Jan,229.7102887,0.516634051
31,Jan,254.467996,0.533855186
1,Feb,262.6898,0.551076321
2,Feb,240.6152545,0.568297456
3,Feb,215.3025806,0.585518591
4,Feb,270.1271737,0.602739726
5,Feb,250.035491,0.619960861
6,Feb,255.335882,0.637181996
7,Feb,255.0802635,0.654403131
8,Feb,248.1141929,0.671624266
9,Feb,232.9137348,0.688845401
10,Feb,235.8855853,0.706066536
11,Feb,234.5395846,0.723287671
12,Feb,252.3861304,0.740508806
13,Feb,257.7705489,0.757729941
14,Feb,245.2144106,0.774951076
15,Feb,247.0794477,0.792172211
16,Feb,248.9124546,0.809393346
17,Feb,244.5265391,0.826614481
18,Feb,239.6303227,0.843835616
19,Feb,229.2759037,0.861056751
20,Feb,229.2308221,0.878277886
21,Feb,220.8325914,0.895499022
22,Feb,236.8881961,0.912720157
23,Feb,242.6715375,0.929941292
24,Feb,239.7975978,0.947162427
25,Feb,264.9839184,0.964383562
26,Feb,253.8855229,0.981604697
27,Feb,246.5064381,0.998825832
28,Feb,235.2238684,1.016046967
1,Mar,251.9921473,1.033268102
2,Mar,246.583654,1.050489237
3,Mar,248.2283788,1.067710372
4,Mar,230.8210538,1.084931507
5,Mar,228.7295687,1.102152642
6,Mar,252.9641837,1.119373777
7,Mar,233.4107245,1.136594912
8,Mar,260.2120274,1.153816047
9,Mar,234.8125182,1.171037182
10,Mar,253.8613442,1.188258317
11,Mar,255.6142752,1.205479452
12,Mar,247.7612356,1.222700587
13,Mar,244.9380973,1.239921722
14,Mar,239.7539722,1.257142857
15,Mar,240.1585107,1.274363992
16,Mar,242.1212506,1.291585127
17,Mar,232.1660665,1.308806262
18,Mar,227.3982313,1.326027397
19,Mar,221.8346303,1.343248532
20,Mar,265.8570561,1.360469667
21,Mar,232.5930158,1.377690802
22,Mar,223.4599081,1.394911937
23,Mar,242.6721614,1.412133072
24,Mar,236.5081483,1.429354207
25,Mar,235.1276215,1.446575342
26,Mar,233.5040595,1.463796477
27,Mar,237.7819247,1.481017613
28,Mar,232.4252207,1.498238748
29,Mar,230.590602,1.515459883
30,Mar,226.5881142,1.532681018
31,Mar,248.0585558,1.549902153
1,Apr,264.4142886,1.567123288
2,Apr,257.1932755,1.584344423
3,Apr,240.6521725,1.601565558
4,Apr,259.3504331,1.618786693
5,Apr,258.7759156,1.636007828
6,Apr,261.6687822,1.653228963
7,Apr,251.6441297,1.670450098
8,Apr,239.0291826,1.687671233
9,Apr,226.1338663,1.704892368
10,Apr,220.6346899,1.722113503
11,Apr,218.2912782,1.739334638
12,Apr,247.1214615,1.756555773
13,Apr,223.103831,1.773776908
14,Apr,237.2204585,1.790998043
15,Apr,224.7881777,1.808219178
16,Apr,250.6230599,1.825440313
17,Apr,236.7483755,1.842661448
18,Apr,244.4327361,1.859882583
19,Apr,245.7570019,1.877103718
20,Apr,239.4250896,1.894324853
21,Apr,224.93247,1.911545988
22,Apr,226.9280722,1.928767123
23,Apr,223.7386133,1.945988258
24,Apr,228.0204823,1.963209393
25,Apr,221.4851048,1.980430528
26,Apr,229.1064967,1.997651663
27,Apr,229.3739185,2.014872798
28,Apr,211.8862058,2.032093933
29,Apr,259.0453653,2.049315068
30,Apr,224.8589459,2.066536204
1,May,248.5281429,2.083757339
2,May,233.0112297,2.100978474
3,May,234.8277534,2.118199609
4,May,232.9950585,2.135420744
5,May,231.4345693,2.152641879
6,May,230.1405659,2.169863014
7,May,213.278276,2.187084149
8,May,204.9509175,2.204305284
9,May,239.8902569,2.221526419
10,May,236.6999141,2.238747554
11,May,231.0102718,2.255968689
12,May,214.3538389,2.273189824
13,May,211.0774926,2.290410959
14,May,208.6159952,2.307632094
15,May,212.3664003,2.324853229
16,May,223.1167783,2.342074364
17,May,222.8681275,2.359295499
18,May,222.7536815,2.376516634
19,May,221.2145632,2.393737769
20,May,217.1354834,2.410958904
21,May,222.274423,2.428180039
22,May,219.6856882,2.445401174
23,May,228.8424547,2.462622309
24,May,231.2862211,2.479843444
25,May,237.6006623,2.497064579
26,May,234.4810357,2.514285714
27,May,216.3112231,2.531506849
28,May,226.7962072,2.548727984
29,May,212.5346634,2.565949119
30,May,220.2398748,2.583170254
31,May,213.2900273,2.600391389
1,Jun,219.4998501,2.617612524
2,Jun,213.8311626,2.634833659
3,Jun,217.8360423,2.652054795
4,Jun,231.438729,2.66927593
5,Jun,215.2461116,2.686497065
6,Jun,232.9316739,2.7037182
7,Jun,229.1357712,2.720939335
8,Jun,223.0173076,2.73816047
9,Jun,240.8988994,2.755381605
10,Jun,209.4311559,2.77260274
11,Jun,207.9232879,2.789823875
12,Jun,200.1015506,2.80704501
13,Jun,206.9625348,2.824266145
14,Jun,214.7528658,2.84148728
15,Jun,220.9659643,2.858708415
16,Jun,200,2.87592955
17,Jun,211.1312578,2.893150685
18,Jun,207.2541354,2.91037182
19,Jun,226.66715,2.927592955
20,Jun,220.8281716,2.94481409
21,Jun,209.3516522,2.962035225
22,Jun,217.6883701,2.97925636
23,Jun,218.70892,2.996477495
24,Jun,215.8905134,3.01369863
25,Jun,214.6900531,3.030919765
26,Jun,213.3502921,3.0481409
27,Jun,247.4650593,3.065362035
28,Jun,217.991878,3.08258317
29,Jun,228.2158359,3.099804305
30,Jun,210.8967502,3.11702544
1,Jul,235.5225925,3.134246575
2,Jul,207.6873244,3.15146771
3,Jul,222.1342384,3.168688845
4,Jul,217.8965671,3.18590998
5,Jul,218.7457341,3.203131115
6,Jul,216.9263505,3.22035225
7,Jul,227.4930743,3.237573386
8,Jul,209.2182792,3.254794521
9,Jul,208.8120248,3.272015656
10,Jul,229.5476933,3.289236791
11,Jul,211.4234303,3.306457926
12,Jul,212.7063063,3.323679061
13,Jul,221.7484189,3.340900196
14,Jul,224.5290234,3.358121331
15,Jul,231.2297521,3.375342466
16,Jul,209.864189,3.392563601
17,Jul,215.653614,3.409784736
18,Jul,211.1919386,3.427005871
19,Jul,218.4761804,3.444227006
20,Jul,221.2152391,3.461448141
21,Jul,219.7596803,3.478669276
22,Jul,222.9827294,3.495890411
23,Jul,213.0725229,3.513111546
24,Jul,216.0538368,3.530332681
25,Jul,211.4418893,3.547553816
26,Jul,223.3834722,3.564774951
27,Jul,212.523068,3.581996086
28,Jul,213.3953218,3.599217221
29,Jul,213.7844691,3.616438356
30,Jul,212.7926217,3.633659491
31,Jul,217.276084,3.650880626
1,Aug,211.862391,3.668101761
2,Aug,220.7042622,3.685322896
3,Aug,228.5847564,3.702544031
4,Aug,212.7193576,3.719765166
5,Aug,243.849223,3.736986301
6,Aug,247.7251495,3.754207436
7,Aug,211.8380043,3.771428571
8,Aug,217.7178526,3.788649706
9,Aug,215.1300538,3.805870841
10,Aug,227.1811948,3.823091977
11,Aug,214.9504033,3.840313112
12,Aug,220.6768077,3.857534247
13,Aug,223.1856746,3.874755382
14,Aug,210.8988301,3.891976517
15,Aug,238.7534932,3.909197652
16,Aug,253.0247085,3.926418787
17,Aug,244.6616279,3.943639922
18,Aug,249.186428,3.960861057
19,Aug,231.8087414,3.978082192
20,Aug,223.4024512,3.995303327
21,Aug,214.1960273,4.012524462
22,Aug,212.2303755,4.029745597
23,Aug,212.6942949,4.046966732
24,Aug,222.0453231,4.064187867
25,Aug,212.4067502,4.081409002
26,Aug,212.2441548,4.098630137
27,Aug,231.1989698,4.115851272
28,Aug,215.6090524,4.133072407
29,Aug,212.7554957,4.150293542
30,Aug,223.4483127,4.167514677
31,Aug,208.0658643,4.184735812
1,Sep,216.2495024,4.201956947
2,Sep,220.633338,4.219178082
3,Sep,239.0632928,4.236399217
4,Sep,222.7777043,4.253620352
5,Sep,220.3042474,4.270841487
6,Sep,212.8872047,4.288062622
7,Sep,226.687065,4.305283757
8,Sep,214.4691688,4.322504892
9,Sep,214.4301189,4.339726027
10,Sep,218.5028029,4.356947162
11,Sep,220.44334,4.374168297
12,Sep,216.4352886,4.391389432
13,Sep,215.8153774,4.408610568
14,Sep,212.6785918,4.425831703
15,Sep,211.5329885,4.443052838
16,Sep,212.3261544,4.460273973
17,Sep,224.951969,4.477495108
18,Sep,218.1669527,4.494716243
19,Sep,216.9939469,4.511937378
20,Sep,218.4419662,4.529158513
21,Sep,218.3179007,4.546379648
22,Sep,211.9088766,4.563600783
23,Sep,208.524844,4.580821918
24,Sep,220.6445174,4.598043053
25,Sep,211.0553418,4.615264188
26,Sep,208.1738626,4.632485323
27,Sep,209.3262775,4.649706458
28,Sep,221.3723228,4.666927593
29,Sep,217.917574,4.684148728
30,Sep,217.4323357,4.701369863
1,Oct,222.9289643,4.718590998
2,Oct,213.6188579,4.735812133
3,Oct,216.2705093,4.753033268
4,Oct,215.6684332,4.770254403
5,Oct,211.4242103,4.787475538
6,Oct,214.6237046,4.804696673
7,Oct,229.7206881,4.821917808
8,Oct,210.7729968,4.839138943
9,Oct,225.2225626,4.856360078
10,Oct,212.8745174,4.873581213
11,Oct,228.3150467,4.890802348
12,Oct,225.7679617,4.908023483
13,Oct,222.4776282,4.925244618
14,Oct,219.6127881,4.942465753
15,Oct,227.0188074,4.959686888
16,Oct,221.1166523,4.976908023
17,Oct,229.2692481,4.994129159
18,Oct,226.8819507,5.011350294
19,Oct,236.0824468,5.028571429
20,Oct,233.9890378,5.045792564
21,Oct,262.6917759,5.063013699
22,Oct,260.5353983,5.080234834
23,Oct,241.1245675,5.097455969
24,Oct,248.3625317,5.114677104
25,Oct,258.8490757,5.131898239
26,Oct,232.3126987,5.149119374
27,Oct,243.7634796,5.166340509
28,Oct,234.3973202,5.183561644
29,Oct,234.9416273,5.200782779
30,Oct,246.5547956,5.218003914
31,Oct,231.8448275,5.235225049
1,Nov,235.0180633,5.252446184
2,Nov,224.0209584,5.269667319
3,Nov,233.8131831,5.286888454
4,Nov,221.857925,5.304109589
5,Nov,225.0431722,5.321330724
6,Nov,226.8644276,5.338551859
7,Nov,240.4994566,5.355772994
8,Nov,245.6749502,5.372994129
9,Nov,251.0375299,5.390215264
10,Nov,249.3685224,5.407436399
11,Nov,257.0682221,5.424657534
12,Nov,290,5.441878669
13,Nov,246.6442308,5.459099804
14,Nov,245.4464743,5.476320939
15,Nov,244.1628704,5.493542074
16,Nov,252.7800095,5.510763209
17,Nov,245.376486,5.527984344
18,Nov,254.6995397,5.545205479
19,Nov,247.1510479,5.562426614
20,Nov,242.5172616,5.57964775
21,Nov,253.883547,5.596868885
22,Nov,251.1062182,5.61409002
23,Nov,257.6643705,5.631311155
24,Nov,246.0837525,5.64853229
25,Nov,285.2674709,5.665753425
26,Nov,219.8757901,5.68297456
27,Nov,223.2406357,5.700195695
28,Nov,247.7063785,5.71741683
29,Nov,263.4866058,5.734637965
30,Nov,235.8954647,5.7518591
1,Dec,240.001323,5.769080235
2,Dec,244.6051069,5.78630137
3,Dec,257.5253819,5.803522505
4,Dec,273.8057707,5.82074364
5,Dec,250.3297954,5.837964775
6,Dec,249.7589697,5.85518591
7,Dec,259.3951507,5.872407045
8,Dec,241.8681801,5.88962818
9,Dec,257.4498299,5.906849315
10,Dec,209.3302813,5.92407045
11,Dec,239.2520948,5.941291585
12,Dec,221.180193,5.95851272
13,Dec,246.1547288,5.975733855
14,Dec,221.5522852,5.99295499
15,Dec,210.4749486,6.010176125
16,Dec,215.0977635,6.02739726
17,Dec,212.9788758,6.044618395
18,Dec,248.1012456,6.06183953
19,Dec,212.9414898,6.079060665
20,Dec,222.4665528,6.0962818
21,Dec,244.0731751,6.113502935
22,Dec,212.919599,6.13072407
23,Dec,236.2831042,6.147945205
24,Dec,232.5241715,6.165166341
25,Dec,212.3588607,6.182387476
26,Dec,230.9941006,6.199608611
27,Dec,234.7639007,6.216829746
28,Dec,252.242878,6.234050881
29,Dec,241.3937052,6.251272016
30,Dec,224.6198626,6.268493151
31,Dec,214.2663276,6.285714286
